Class;Name;Signature;Ret Type
com.aelitis.net.udp.uc.impl.PRUDPPacketHandlerRequestImpl;getElapsedTime;;long
com.aelitis.net.udp.uc.PRUDPPacketHandlerRequest;getElapsedTime;;long
com.aelitis.azureus.ui.common.table.impl.TableColumnImpl;getLastSortValueChange;;long
com.aelitis.azureus.ui.common.table.TableColumnCore;getLastSortValueChange;;long
com.aelitis.azureus.ui.common.table.impl.TableColumnImpl;getLastSortValueChange;;long
com.aelitis.azureus.ui.swt.subscriptions.SBC_SubscriptionResult;getTime;;long
com.aelitis.azureus.ui.swt.utils.SearchSubsResultBase;getTime;;long
com.aelitis.azureus.ui.swt.search.SBC_SearchResult;getTime;;long
com.aelitis.azureus.ui.swt.utils.SearchSubsResultBase;getTime;;long
com.aelitis.azureus.ui.swt.search.SBC_SearchResult;getTime;;long
com.aelitis.azureus.ui.swt.columns.torrent.ColumnProgressETA;getETA;TableCell;long
com.aelitis.azureus.ui.swt.columns.torrent.ColumnProgressETA;getETA;TableCell;long
com.aelitis.azureus.core.versioncheck.VersionCheckClient;getCacheTime;boolean;long
com.aelitis.azureus.core.impl.AzureusCoreImpl;getCreateTime;;long
com.aelitis.azureus.core.AzureusCore;getCreateTime;;long
com.aelitis.azureus.core.pairing.impl.swt.PMSWTImpl$RemoteHistoryEntry;getLastReceivedMono;;long
com.aelitis.azureus.core.pairing.impl.swt.PMSWTImpl$RemoteHistoryEntry;getLastReceivedRTC;;long
com.aelitis.azureus.core.pairing.impl.PairManagerTunnel;getLastActive;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucketMT;getRate;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucket;getRate;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucketMT;getBurstRate;;long
com.aelitis.azureus.core.networkmanager.impl.TransportImpl;isReadyForRead;EventWaiter;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucketST;getAvailableByteCount;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucket;getAvailableByteCount;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucketST;getRate;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucket;getRate;;long
com.aelitis.azureus.core.networkmanager.impl.ByteBucketST;getBurstRate;;long
com.aelitis.azureus.core.networkmanager.impl.ProtocolDecoderPHE;getLastReadTime;;long
com.aelitis.azureus.core.networkmanager.impl.tcp.IncomingSocketChannelManager;getLastNonLocalConnectionTime;;long
com.aelitis.azureus.core.networkmanager.impl.tcp.VirtualBlockingServerChannelSelector;getTimeOfLastAccept;;long
com.aelitis.azureus.core.networkmanager.VirtualServerChannelSelector;getTimeOfLastAccept;;long
com.aelitis.azureus.core.networkmanager.impl.tcp.VirtualNonBlockingServerChannelSelector;getTimeOfLastAccept;;long
com.aelitis.azureus.core.networkmanager.VirtualServerChannelSelector;getTimeOfLastAccept;;long
com.aelitis.azureus.core.networkmanager.impl.http.HTTPNetworkConnection;getTimeSinceLastActivity;;long
com.aelitis.azureus.core.networkmanager.admin.impl.NetworkAdminSpeedTesterBTImpl$BitTorrentResult;getTestTime;;long
com.aelitis.azureus.core.networkmanager.admin.NetworkAdminSpeedTesterResult;getTestTime;;long
com.aelitis.azureus.core.proxy.impl.AEProxySelectorImpl$ActiveProxy;getLastConnectionTime;;long
com.aelitis.azureus.core.proxy.impl.AEProxySelectorImpl$ActiveProxy;getLastFailTime;;long
com.aelitis.azureus.core.proxy.impl.AEProxyConnectionImpl;getTimeStamp;;long
com.aelitis.azureus.core.util.bloom.impl.BloomFilterImpl;getStartTimeMono;;long
com.aelitis.azureus.core.util.bloom.BloomFilter;getStartTimeMono;;long
com.aelitis.azureus.core.util.bloom.impl.BloomFilterRotator;getStartTimeMono;;long
com.aelitis.azureus.core.util.bloom.BloomFilter;getStartTimeMono;;long
com.aelitis.azureus.core.speedmanager.SpeedLimitHandler.Prioritiser$PrioritiserTagState;updateAverage;boolean;long
com.aelitis.azureus.core.speedmanager.SpeedLimitHandler.Prioritiser$PrioritiserTagState;getLimit;;long
com.aelitis.azureus.core.dht.transport.udp.impl.DHTUDPPacketRequest;getClockSkew;;long
com.aelitis.azureus.core.dht.nat.impl.DHTNATPuncherImpl$BindingData;getBindTime;;long
com.aelitis.azureus.core.dht.db.impl.DHTDBImpl$SurveyContactState;getCreationTime;;long
com.aelitis.azureus.core.dht.db.impl.DHTDBImpl$SurveyContactState;getLastUseTime;;long
com.aelitis.azureus.core.dht.db.impl.DHTDBValueImpl;getCreationTime;;long
com.aelitis.azureus.core.dht.db.impl.DHTDBValueImpl;getStoreTime;;long
com.aelitis.azureus.core.dht.control.impl.DHTControlImpl;getRouterUptime;;long
